Human Prompt,Cypher Query
"List all classes that use 'HttpSession'.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.signature CONTAINS '(HttpSession' RETURN DISTINCT c.name;"
"Find all JSP files.","MATCH (f:File) WHERE f.path ENDS WITH '.jsp' RETURN f.path;"
"Show me all 'web.xml' deployment descriptors.","MATCH (f:File {path:'web.xml'}) RETURN f.path, f.code;"
"Which classes are registered as listeners in web.xml?","MATCH (f:File {path:'web.xml'}) WHERE f.code CONTAINS '<listener-class>' RETURN f.code;"
"Get all servlet mappings from web.xml.","MATCH (f:File {path:'web.xml'}) WHERE f.code CONTAINS '<servlet-mapping>' RETURN f.code;"
"List all 'JSF' managed beans.","MATCH (c:Class) WHERE c.code CONTAINS '@ManagedBean' RETURN c.name;"
"Find all 'faces-config.xml' files.","MATCH (f:File {path: 'faces-config.xml'}) RETURN f.path, f.code;"
"Show me the navigation rules from faces-config.","MATCH (f:File {path: 'faces-config.xml'}) WHERE f.code CONTAINS '<navigation-rule>' RETURN f.code;"
"Which classes use 'FacesContext'?","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS 'FacesContext.getCurrentInstance()' RETURN DISTINCT c.name;"
"Get all methods that return a 'String' for navigation outcomes.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE c.code CONTAINS '@ManagedBean' AND m.signature ENDS WITH 'String' RETURN m.signature;"
"List all `.xhtml` files.","MATCH (f:File) WHERE f.path ENDS WITH '.xhtml' RETURN f.path;"
"Find all PrimeFaces components used.","MATCH (f:File) WHERE f.path ENDS WITH '.xhtml' AND f.code CONTAINS '<p:' RETURN f.path, f.code;"
"Show me the backing bean for 'login.xhtml'.","MATCH (f:File {path: 'login.xhtml'}) WHERE f.code CONTAINS 'bean.login' RETURN 'LoginBean';"
"Which methods are action listeners?","MATCH (m:Method) WHERE m.signature CONTAINS '(ActionEvent' RETURN m.signature;"
"Get all value change listener methods.","MATCH (m:Method) WHERE m.signature CONTAINS '(ValueChangeEvent' RETURN m.signature;"
"List all JSF converters.","MATCH (c:Class) WHERE c.code CONTAINS '@FacesConverter' RETURN c.name;"
"Find all JSF validators.","MATCH (c:Class) WHERE c.code CONTAINS '@FacesValidator' RETURN c.name;"
"Show me the beans defined in 'applicationContext.xml'.","MATCH (f:File {path: 'applicationContext.xml'}) WHERE f.code CONTAINS '<bean id=' RETURN f.code;"
"Which classes have 'init-method' or 'destroy-method' defined in XML?","MATCH (f:File {path: 'applicationContext.xml'}) WHERE f.code CONTAINS 'init-method' OR f.code CONTAINS 'destroy-method' RETURN f.code;"
"Get all beans with 'singleton' scope.","MATCH (f:File {path: 'applicationContext.xml'}) WHERE f.code CONTAINS 'scope=\"singleton\"' RETURN f.code;"
"List all beans with 'prototype' or 'request' scope.","MATCH (f:File {path: 'applicationContext.xml'}) WHERE f.code CONTAINS 'scope=\"prototype\"' OR f.code CONTAINS 'scope=\"request\"' RETURN f.code;"
"Find all AOP advice defined in XML.","MATCH (f:File {path: 'applicationContext.xml'}) WHERE f.code CONTAINS '<aop:advisor>' OR f.code CONTAINS '<aop:aspect>' RETURN f.code;"
"Show me the pointcut expressions from XML config.","MATCH (f:File {path: 'applicationContext.xml'}) WHERE f.code CONTAINS 'pointcut expression=' RETURN f.code;"
"Which beans are wired using constructor arguments in XML?","MATCH (f:File {path: 'applicationContext.xml'}) WHERE f.code CONTAINS '<constructor-arg>' RETURN f.code;"
"Get all beans that have a 'p-namespace' property set.","MATCH (f:File {path: 'applicationContext.xml'}) WHERE f.code CONTAINS 'p:' RETURN f.code;"
"List all 'hibernate.cfg.xml' files.","MATCH (f:File {path: 'hibernate.cfg.xml'}) RETURN f.path;"
"Find all Hibernate mapping files (*.hbm.xml).","MATCH (f:File) WHERE f.path ENDS WITH '.hbm.xml' RETURN f.path;"
"Show me the properties from hibernate config.","MATCH (f:File {path: 'hibernate.cfg.xml'}) WHERE f.code CONTAINS '<property name=' RETURN f.code;"
"Which classes are mapped in hibernate.cfg.xml?","MATCH (f:File {path: 'hibernate.cfg.xml'}) WHERE f.code CONTAINS '<mapping class=' RETURN f.code;"
"Get all HQL queries from the code.","MATCH (m:Method) WHERE m.code CONTAINS 'session.createQuery' RETURN m.code;"
"List all classes that use 'SessionFactory'.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS 'sessionFactory.openSession()' RETURN DISTINCT c.name;"
"Find all Hibernate entities from hbm files.","MATCH (f:File) WHERE f.path ENDS WITH '.hbm.xml' AND f.code CONTAINS '<class name=' RETURN f.path, f.code;"
"Show me the primary key mapping for the 'User' entity.","MATCH (f:File) WHERE f.path ENDS WITH 'User.hbm.xml' AND f.code CONTAINS '<id name=' RETURN f.code;"
"Which entities have a 'one-to-many' relationship defined in XML?","MATCH (f:File) WHERE f.path ENDS WITH '.hbm.xml' AND f.code CONTAINS '<one-to-many' RETURN f.path;"
"Get all entities with a version property for optimistic locking.","MATCH (f:File) WHERE f.path ENDS WITH '.hbm.xml' AND f.code CONTAINS '<version name=' RETURN f.path;"
"List all named queries from hbm files.","MATCH (f:File) WHERE f.path ENDS WITH '.hbm.xml' AND f.code CONTAINS '<query name=' RETURN f.code;"
"Find all entities using a custom 'UserType'.","MATCH (f:File) WHERE f.path ENDS WITH '.hbm.xml' AND f.code CONTAINS 'type=\"UserType\"' RETURN f.path;"
"Show me all Struts action classes.","MATCH (c:Class) WHERE c.extension = 'ActionSupport' RETURN c.name;"
"Find all 'struts.xml' files.","MATCH (f:File {path: 'struts.xml'}) RETURN f.path, f.code;"
"Which classes are defined as actions in struts.xml?","MATCH (f:File {path: 'struts.xml'}) WHERE f.code CONTAINS '<action name=' RETURN f.code;"
"Get the result mappings for the 'login' action.","MATCH (f:File {path: 'struts.xml'}) WHERE f.code CONTAINS 'name=\"login\"' AND f.code CONTAINS '<result name=' RETURN f.code;"
"List all Struts interceptors.","MATCH (f:File {path: 'struts.xml'}) WHERE f.code CONTAINS '<interceptor name=' RETURN f.code;"
"Find all action classes in the 'com.myapp.action' package.","MATCH (p:Package {name: 'com.myapp.action'})-[:CONTAINS]->(c:Class) WHERE c.extension = 'ActionSupport' RETURN c.name;"
"Show me the 'execute' method of 'LoginAction'.","MATCH (c:Class {name: 'LoginAction'})-[:HAS_METHOD]->(m:Method {name: 'execute'}) RETURN m.code;"
"Which actions have a 'wildcard' mapping?","MATCH (f:File {path: 'struts.xml'}) WHERE f.code CONTAINS '<action name=\"*\"' RETURN f.code;"
"Get all global results from struts.xml.","MATCH (f:File {path: 'struts.xml'}) WHERE f.code CONTAINS '<global-results>' RETURN f.code;"
"List all Struts form beans.","MATCH (c:Class) WHERE c.extension = 'ActionForm' RETURN c.name;"
"Find all 'ActionForward' objects created.","MATCH (m:Method) WHERE m.code CONTAINS 'new ActionForward' RETURN m.name;"
"Show me the validation rules from 'validation.xml'.","MATCH (f:File {path: 'validation.xml'}) RETURN f.code;"
"Which actions use the 'validation' interceptor?","MATCH (f:File {path: 'struts.xml'}) WHERE f.code CONTAINS '<interceptor-ref name=\"validation\"' RETURN f.code;"
"Get all Ant build files.","MATCH (f:File {path: 'build.xml'}) RETURN f.path;"
"List all targets in the 'build.xml' file.","MATCH (f:File {path: 'build.xml'}) WHERE f.code CONTAINS '<target name=' RETURN f.code;"
"Show me the 'compile' target.","MATCH (f:File {path: 'build.xml'}) WHERE f.code CONTAINS '<target name=\"compile\"' RETURN f.code;"
"What is the classpath used for compilation?","MATCH (f:File {path: 'build.xml'}) WHERE f.code CONTAINS '<classpath>' RETURN f.code;"
"Which taskdefs are defined?","MATCH (f:File {path: 'build.xml'}) WHERE f.code CONTAINS '<taskdef' RETURN f.code;"
"Get all 'javac' tasks.","MATCH (f:File {path: 'build.xml'}) WHERE f.code CONTAINS '<javac' RETURN f.code;"
"List all 'jar' or 'war' tasks.","MATCH (f:File {path: 'build.xml'}) WHERE f.code CONTAINS '<jar' OR f.code CONTAINS '<war' RETURN f.code;"
"Show me the properties defined in the build file.","MATCH (f:File {path: 'build.xml'}) WHERE f.code CONTAINS '<property name=' RETURN f.code;"
"What does the 'clean' target do?","MATCH (f:File {path: 'build.xml'}) WHERE f.code CONTAINS '<target name=\"clean\"' RETURN f.code;"
"Find all filesets defined.","MATCH (f:File {path: 'build.xml'}) WHERE f.code CONTAINS '<fileset' RETURN f.code;"
"Get all Maven POM files.","MATCH (f:File {path: 'pom.xml'}) RETURN f.path;"
"List all dependencies from pom.xml.","MATCH (f:File {path: 'pom.xml'}) WHERE f.code CONTAINS '<dependency>' RETURN f.code;"
"Show me the plugins used in the build.","MATCH (f:File {path: 'pom.xml'}) WHERE f.code CONTAINS '<plugin>' RETURN f.code;"
"What is the groupId and artifactId of this project?","MATCH (f:File {path: 'pom.xml'}) WHERE f.code CONTAINS '<groupId>' OR f.code CONTAINS '<artifactId>' RETURN f.code;"
"Which profiles are defined in pom.xml?","MATCH (f:File {path: 'pom.xml'}) WHERE f.code CONTAINS '<profile>' RETURN f.code;"
"Get all dependencies with 'test' scope.","MATCH (f:File {path: 'pom.xml'}) WHERE f.code CONTAINS '<scope>test</scope>' RETURN f.code;"
"List all repositories defined.","MATCH (f:File {path: 'pom.xml'}) WHERE f.code CONTAINS '<repository>' RETURN f.code;"
"Show me the 'build' section of the pom.","MATCH (f:File {path: 'pom.xml'}) WHERE f.code CONTAINS '<build>' RETURN f.code;"
"What is the parent pom of this project?","MATCH (f:File {path: 'pom.xml'}) WHERE f.code CONTAINS '<parent>' RETURN f.code;"
"Find all properties defined in the pom.","MATCH (f:File {path: 'pom.xml'}) WHERE f.code CONTAINS '<properties>' RETURN f.code;"
"Get all Gradle build files.","MATCH (f:File {path: 'build.gradle'}) RETURN f.path;"
"List all dependencies from build.gradle.","MATCH (f:File {path: 'build.gradle'}) WHERE f.code CONTAINS 'implementation ' OR f.code CONTAINS 'testImplementation ' RETURN f.code;"
"Show me the plugins applied in the build.","MATCH (f:File {path: 'build.gradle'}) WHERE f.code CONTAINS 'plugins {' RETURN f.code;"
"What is the group and version of this project?","MATCH (f:File {path: 'build.gradle'}) WHERE f.code CONTAINS 'group = ' OR f.code CONTAINS 'version = ' RETURN f.code;"
"Which tasks are defined in build.gradle?","MATCH (f:File {path: 'build.gradle'}) WHERE f.code CONTAINS 'task ' RETURN f.code;"
"Get all dependencies from the 'api' configuration.","MATCH (f:File {path: 'build.gradle'}) WHERE f.code CONTAINS 'api ' RETURN f.code;"
"List all repositories defined in build.gradle.","MATCH (f:File {path: 'build.gradle'}) WHERE f.code CONTAINS 'repositories {' RETURN f.code;"
"Show me the 'sourceSets' configuration.","MATCH (f:File {path: 'build.gradle'}) WHERE f.code CONTAINS 'sourceSets {' RETURN f.code;"
"What is the java version used by the project?","MATCH (f:File {path: 'build.gradle'}) WHERE f.code CONTAINS 'sourceCompatibility = ' RETURN f.code;"
"Find all custom tasks defined in the build script.","MATCH (f:File {path: 'build.gradle'}) WHERE f.code CONTAINS 'task ' AND f.code CONTAINS 'type: ' RETURN f.code;"
"Get all Swing components used.","MATCH (c:Class) WHERE c.package STARTS WITH 'javax.swing' RETURN c.name;"
"List all classes that extend 'JFrame' or 'JPanel'.","MATCH (c:Class) WHERE c.extension = 'JFrame' OR c.extension = 'JPanel' RETURN c.name;"
"Find all 'ActionListener' implementations.","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'ActionListener'}) RETURN c.name;"
"Show me all methods that call 'addActionListener'.","MATCH (m:Method)-[:CALLS]->(callee:Method {name: 'addActionListener'}) RETURN m.name;"
"Which classes use 'JButton' or 'JTextField'?","MATCH (c:Class)-[:HAS_FIELD]->(f) WHERE f.type = 'JButton' OR f.type = 'JTextField' RETURN c.name;"
"Get all methods that are executed on the Event Dispatch Thread (EDT).","MATCH (m:Method)-[:CALLS]->(callee:Method) WHERE callee.signature CONTAINS 'SwingUtilities.invokeLater' RETURN m.name;"
"List all 'LayoutManager' implementations.","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'LayoutManager'}) RETURN c.name;"
"Find all usages of 'JOptionPane'.","MATCH (m:Method)-[:CALLS]->(callee:Method) WHERE callee.signature CONTAINS 'JOptionPane.' RETURN m.name;"
"Show me the 'main' method that starts the Swing application.","MATCH (c:Class)-[:HAS_METHOD]->(m:Method {name: 'main'}) WHERE m.code CONTAINS 'new JFrame' RETURN c.name;"
"Which methods handle mouse events?","MATCH (m:Method) WHERE m.name STARTS WITH 'mouse' AND m.signature CONTAINS '(MouseEvent' RETURN m.name;"
"Get all AWT components used.","MATCH (c:Class) WHERE c.package STARTS WITH 'java.awt' RETURN c.name;"
"List all classes that extend 'Canvas'.","MATCH (c:Class {extension: 'Canvas'}) RETURN c.name;"
"Find all 'Graphics' object manipulations.","MATCH (m:Method) WHERE m.signature CONTAINS '(Graphics' RETURN m.name;"
"Show me all methods that call 'repaint()'.","MATCH (m:Method)-[:CALLS]->(callee:Method {name: 'repaint'}) RETURN m.name;"
"Which classes use 'Color' or 'Font' objects?","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS 'new Color(' OR m.code CONTAINS 'new Font(' RETURN DISTINCT c.name;"
"Get all methods handling key events.","MATCH (m:Method) WHERE m.name STARTS WITH 'key' AND m.signature CONTAINS '(KeyEvent' RETURN m.name;"
"List all 'Applet' classes.","MATCH (c:Class {extension: 'Applet'}) RETURN c.name;"
"Find all usages of 'Graphics2D'.","MATCH (m:Method) WHERE m.signature CONTAINS '(Graphics2D' RETURN m.name;"
"Show me the 'paint' method of 'MyCanvas'.","MATCH (c:Class {name: 'MyCanvas'})-[:HAS_METHOD]->(m:Method {name: 'paint'}) RETURN m.code;"
"Which methods set rendering hints?","MATCH (m:Method)-[:CALLS]->(callee:Method {name: 'setRenderingHint'}) RETURN m.name;"
"Get all Android 'Activity' classes.","MATCH (c:Class) WHERE c.extension = 'Activity' OR c.extension = 'AppCompatActivity' RETURN c.name;"
"List all classes that extend 'Fragment'.","MATCH (c:Class {extension: 'Fragment'}) RETURN c.name;"
"Find all 'Service' classes.","MATCH (c:Class {extension: 'Service'}) RETURN c.name;"
"Show me all 'BroadcastReceiver' classes.","MATCH (c:Class {extension: 'BroadcastReceiver'}) RETURN c.name;"
"Which classes use 'findViewById'?","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS 'findViewById' RETURN DISTINCT c.name;"
"Get all methods annotated with '@Override' that are named 'onCreate'.","MATCH (m:Method {name: 'onCreate'}) WHERE m.code CONTAINS '@Override' RETURN m.signature;"
"List all layouts from the 'R.layout' class.","MATCH (c:Class {name: 'R.layout'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all usages of 'startActivity'.","MATCH (m:Method)-[:CALLS]->(callee:Method {name: 'startActivity'}) RETURN m.name;"
"Show me the 'AndroidManifest.xml' file.","MATCH (f:File {path: 'AndroidManifest.xml'}) RETURN f.path, f.code;"
"Which activities are declared as the main launcher?","MATCH (f:File {path: 'AndroidManifest.xml'}) WHERE f.code CONTAINS 'android.intent.action.MAIN' AND f.code CONTAINS 'android.intent.category.LAUNCHER' RETURN f.code;"
"Get all permissions requested by the app.","MATCH (f:File {path: 'AndroidManifest.xml'}) WHERE f.code CONTAINS '<uses-permission' RETURN f.code;"
"List all 'Adapter' classes.","MATCH (c:Class) WHERE c.extension ENDS WITH 'Adapter' RETURN c.name;"
"Find all usages of 'Toast.makeText'.","MATCH (m:Method)-[:CALLS]->(callee:Method) WHERE callee.signature CONTAINS 'Toast.makeText' RETURN m.name;"
"Show me all 'AsyncTask' implementations.","MATCH (c:Class) WHERE c.extension = 'AsyncTask' RETURN c.name;"
"Which methods run in the background ('doInBackground')?","MATCH (m:Method {name: 'doInBackground'}) RETURN m.signature;"
"Get all methods that update the UI from a background thread ('onPostExecute').","MATCH (m:Method {name: 'onPostExecute'}) RETURN m.signature;"
"List all classes that use 'SharedPreferences'.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS 'getSharedPreferences' RETURN DISTINCT c.name;"
"Find all 'ContentProvider' classes.","MATCH (c:Class {extension: 'ContentProvider'}) RETURN c.name;"
"Show me the 'SQLiteOpenHelper' implementations.","MATCH (c:Class {extension: 'SQLiteOpenHelper'}) RETURN c.name;"
"Which methods execute raw SQL queries on the database?","MATCH (m:Method)-[:CALLS]->(callee:Method) WHERE callee.name = 'rawQuery' OR callee.name = 'execSQL' RETURN m.name;"
"Get all log statements (Log.d, Log.i, etc.).","MATCH (m:Method)-[:CALLS]->(callee:Method) WHERE callee.signature STARTS WITH 'android.util.Log.' RETURN m.name, callee.signature;"
"List all classes that use 'ViewModel'.","MATCH (c:Class) WHERE c.extension = 'ViewModel' RETURN c.name;"
"Find all usages of 'LiveData'.","MATCH (c:Class)-[:HAS_FIELD]->(f) WHERE f.type CONTAINS 'LiveData' RETURN c.name;"
"Show me the 'Repository' classes for my architecture components.","MATCH (c:Class) WHERE c.name ENDS WITH 'Repository' AND c.code CONTAINS '@Inject' RETURN c.name;"
"Which methods observe 'LiveData' changes?","MATCH (m:Method)-[:CALLS]->(callee:Method {name: 'observe'}) RETURN m.name;"
"Get all 'Room' database entities.","MATCH (c:Class) WHERE c.code CONTAINS '@Entity' AND c.package CONTAINS 'room' RETURN c.name;"
"List all 'DAO' (Data Access Object) interfaces for Room.","MATCH (i:Interface) WHERE i.code CONTAINS '@Dao' RETURN i.name;"
"Find all '@Query' annotations in DAOs.","MATCH (i:Interface)-[:HAS_METHOD]->(m) WHERE i.code CONTAINS '@Dao' AND m.code CONTAINS '@Query' RETURN i.name, m.signature;"
"Show me the 'Database' class that extends 'RoomDatabase'.","MATCH (c:Class) WHERE c.extension = 'RoomDatabase' RETURN c.name;"
"Which classes use 'Hilt' or 'Dagger' for dependency injection?","MATCH (c:Class) WHERE c.code CONTAINS '@AndroidEntryPoint' OR c.code CONTAINS '@Inject' RETURN c.name;"
"Get all modules for dependency injection.","MATCH (c:Class) WHERE c.code CONTAINS '@Module' RETURN c.name;"
"List all methods annotated with '@Provides'.","MATCH (m:Method) WHERE m.code CONTAINS '@Provides' RETURN m.signature;"
"Find all components or subcomponents for Dagger.","MATCH (i:Interface) WHERE i.code CONTAINS '@Component' OR i.code CONTAINS '@Subcomponent' RETURN i.name;"
"Show me the 'build.gradle' file for the app module.","MATCH (f:File {path: 'app/build.gradle'}) RETURN f.path, f.code;"
"Which libraries are included as dependencies?","MATCH (f:File {path: 'app/build.gradle'}) WHERE f.code CONTAINS 'implementation' RETURN f.code;"
"Get the application ID from the gradle file.","MATCH (f:File {path: 'app/build.gradle'}) WHERE f.code CONTAINS 'applicationId' RETURN f.code;"
"List all product flavors defined.","MATCH (f:File {path: 'app/build.gradle'}) WHERE f.code CONTAINS 'productFlavors' RETURN f.code;"
"Find all usages of 'Retrofit' for networking.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS 'new Retrofit.Builder()' RETURN DISTINCT c.name;"
"Show me the API interfaces for Retrofit.","MATCH (i:Interface) WHERE i.code CONTAINS '@GET' OR i.code CONTAINS '@POST' RETURN i.name;"
"Which methods define a network request?","MATCH (m:Method) WHERE m.code CONTAINS '@GET' OR m.code CONTAINS '@POST' OR m.code CONTAINS '@PUT' RETURN m.signature;"
"Get all classes that use 'OkHttpClient'.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS 'new OkHttpClient.Builder()' RETURN DISTINCT c.name;"
"List all network interceptors.","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'Interceptor'}) RETURN c.name;"
"Find all usages of 'Gson' or 'Moshi' for JSON parsing.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS 'new Gson()' OR m.code CONTAINS 'new Moshi.Builder()' RETURN DISTINCT c.name;"
"Show me the model classes used for API responses.","MATCH (c:Class) WHERE c.package CONTAINS '.model.api' OR c.package CONTAINS '.data.remote' RETURN c.name;"
"Which classes use 'Picasso' or 'Glide' for image loading?","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.signature CONTAINS 'Picasso.get()' OR callee.signature CONTAINS 'Glide.with()' RETURN m.name;"
"Get all methods that set an 'OnClickListener'.","MATCH (m:Method)-[:CALLS]->(callee:Method {name: 'setOnClickListener'}) RETURN m.name;"
"List all 'RecyclerView.Adapter' implementations.","MATCH (c:Class) WHERE c.extension = 'RecyclerView.Adapter' RETURN c.name;"
"Find all 'ViewHolder' classes.","MATCH (c:Class) WHERE c.extension = 'RecyclerView.ViewHolder' RETURN c.name;"
"Show me the 'onCreateViewHolder' and 'onBindViewHolder' methods.","MATCH (m:Method) WHERE m.name = 'onCreateViewHolder' OR m.name = 'onBindViewHolder' RETURN m.signature;"
"Which classes use 'Coroutine' scopes?","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS 'CoroutineScope' or m.code CONTAINS 'GlobalScope.launch' RETURN DISTINCT c.name;"
"Get all 'suspend' functions.","MATCH (m:Method) WHERE m.signature CONTAINS 'suspend fun' RETURN m.signature;"
"List all functions that use 'Flow' or 'StateFlow'.","MATCH (m:Method) WHERE m.signature CONTAINS 'Flow<' or m.signature CONTAINS 'StateFlow<' RETURN m.signature;"
"Find all usages of 'launch' or 'async' coroutine builders.","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.name = 'launch' OR callee.name = 'async' RETURN m.name;"
"Show me functions that switch dispatchers (e.g., 'withContext(Dispatchers.IO)').","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.signature CONTAINS 'withContext' RETURN m.name;"
"Which classes are Kotlin data classes?","MATCH (c:Class) WHERE c.signature CONTAINS 'data class' RETURN c.name;"
"Get all functions with default arguments.","MATCH (m:Method) WHERE m.signature CONTAINS ' = ' RETURN m.signature;"
"List all extension functions.","MATCH (m:Method) WHERE m.signature CONTAINS ' fun ' AND m.signature CONTAINS '.' RETURN m.signature;"
"Find all companion objects.","MATCH (c:Class) WHERE c.code CONTAINS 'companion object' RETURN c.name;"
"Show me all sealed classes or interfaces.","MATCH (c:Class) WHERE c.signature CONTAINS 'sealed class' OR c.signature CONTAINS 'sealed interface' RETURN c.name;"
"Which classes use null-safe operators ('?.')?","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS '?.' RETURN DISTINCT c.name;"
"Get all functions that are 'inline'.","MATCH (m:Method) WHERE m.signature CONTAINS 'inline fun' RETURN m.signature;"
"List all object declarations (singletons in Kotlin).","MATCH (c:Class) WHERE c.signature CONTAINS 'object ' RETURN c.name;"
"Find all usages of scoped functions like 'let', 'run', 'apply'.","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.name IN ['let', 'run', 'apply', 'also', 'with'] RETURN m.name;"
"Show me all functions that return 'Unit'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'Unit' OR NOT m.signature CONTAINS ':' RETURN m.signature;"
"Get all top-level functions (defined outside a class).","MATCH (f:File)-[:CONTAINS_FUNCTION]->(m:Method) RETURN f.path, m.signature;"
"List all properties with delegated properties ('by').","MATCH (c:Class)-[:HAS_FIELD]->(f) WHERE f.signature CONTAINS ' by ' RETURN c.name, f.name;"
"Find all type aliases.","MATCH (f:File) WHERE f.code CONTAINS 'typealias' RETURN f.path, f.code;"
"Show me all 'when' expressions.","MATCH (m:Method) WHERE m.code CONTAINS 'when (' RETURN m.name;"
"Which functions use string templates ('$')?","MATCH (m:Method) WHERE m.code CONTAINS '\"$' OR m.code CONTAINS '\"${' RETURN m.name;"
"Get all functions that are 'operator' functions.","MATCH (m:Method) WHERE m.signature CONTAINS 'operator fun' RETURN m.signature;"
"List all reified type parameters.","MATCH (m:Method) WHERE m.signature CONTAINS 'reified ' RETURN m.signature;"
"Find all 'lateinit' properties.","MATCH (c:Class)-[:HAS_FIELD]->(f) WHERE f.signature CONTAINS 'lateinit var' RETURN c.name, f.name;"
"Show me all primary and secondary constructors.","MATCH (c:Class) WHERE c.signature CONTAINS 'class' AND c.signature CONTAINS '(' OR c.code CONTAINS 'constructor(' RETURN c.name;"
"Which functions use destructuring declarations?","MATCH (m:Method) WHERE m.code CONTAINS 'val (' RETURN m.name;"
"Get all functions with '@JvmStatic' or '@JvmOverloads'.","MATCH (m:Method) WHERE m.code CONTAINS '@JvmStatic' OR m.code CONTAINS '@JvmOverloads' RETURN m.signature;"
"List all SAM (Single Abstract Method) conversions.","MATCH (m:Method) WHERE m.code MATCHES '\\w+\\s*\\{\\s*\\w+\\s*->' RETURN m.name;"
"Find all Java classes from a Kotlin project.","MATCH (c:Class) WHERE c.file_path ENDS WITH '.java' RETURN c.name;"
"Show me all Kotlin classes from a Java project.","MATCH (c:Class) WHERE c.file_path ENDS WITH '.kt' RETURN c.name;"
"Which classes are used by both Java and Kotlin?","MATCH (jc:Class)-[:HAS_METHOD]->(jm)-[:CALLS]->()<-[:HAS_METHOD]-(kc:Class) WHERE jc.file_path ENDS WITH '.java' AND kc.file_path ENDS WITH '.kt' RETURN DISTINCT jc.name, kc.name;"
"Get all 'internal' visibility members.","MATCH (m:Method) WHERE m.signature CONTAINS 'internal fun' RETURN m.signature;"
"List all properties defined in interfaces.","MATCH (i:Interface)-[:HAS_FIELD]->(f) RETURN i.name, f.name;"
"Find all multi-platform modules.","MATCH (f:File {path:'build.gradle.kts'}) WHERE f.code CONTAINS 'kotlin-multiplatform' RETURN f.path;"
"Show me the 'commonMain' source set.","MATCH (f:File {path:'build.gradle.kts'}) WHERE f.code CONTAINS 'commonMain' RETURN f.path;"
"Which classes are expected ('expect class')?","MATCH (c:Class) WHERE c.signature CONTAINS 'expect class' RETURN c.name;"
"Get all actual implementations ('actual class').","MATCH (c:Class) WHERE c.signature CONTAINS 'actual class' RETURN c.name;"
"List all dependencies for the JVM target.","MATCH (f:File {path:'build.gradle.kts'}) WHERE f.code CONTAINS 'jvm()' RETURN f.code;"
"Find all dependencies for Android or JS targets.","MATCH (f:File {path:'build.gradle.kts'}) WHERE f.code CONTAINS 'android()' OR f.code CONTAINS 'js()' RETURN f.code;"
"Show me all native targets defined.","MATCH (f:File {path:'build.gradle.kts'}) WHERE f.code CONTAINS 'ios()' OR f.code CONTAINS 'linuxX64()' RETURN f.code;"
"Which APIs are available in the common code?","MATCH (f:File)-[:CONTAINS_TYPE]->(c) WHERE f.path CONTAINS '/commonMain/' AND c.signature STARTS WITH 'public' RETURN c.name;"
"Get all platform-specific implementations of 'MyApi'.","MATCH (c:Class {name: 'MyApi'}) WHERE c.signature STARTAINS WITH 'actual' RETURN c.file_path;"
"List all tests in the common module.","MATCH (f:File)-[:CONTAINS_TYPE]->(c:Class)-[:HAS_METHOD]->(m) WHERE f.path CONTAINS '/commonTest/' AND m.code CONTAINS '@Test' RETURN c.name, m.name;"
"Find all usages of platform-specific libraries.","MATCH (c:Class)-[:IMPORTS]->(i) WHERE i.package STARTS WITH 'java.' OR i.package STARTS WITH 'kotlinx.cinterop' RETURN c.name, i.name;"
"Get all classes that are serializable with 'kotlinx.serialization'.","MATCH (c:Class) WHERE c.code CONTAINS '@Serializable' RETURN c.name;"
"List all properties marked as '@Transient'.","MATCH (c:Class)-[:HAS_FIELD]->(f) WHERE f.code CONTAINS '@Transient' RETURN c.name, f.name;"
"Find all usages of 'Json.encodeToString' or 'Json.decodeFromString'.","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.name = 'encodeToString' OR callee.name = 'decodeFromString' RETURN m.name;"
"Show me all custom serializers.","MATCH (c:Class) WHERE c.extension = 'KSerializer' RETURN c.name;"
